ἆ|ah!
ἀνεκκλησίαστος|not used for assemblies
ἀνέκκλητος|unchallenged
ἀνέκκλιτος|not to be evaded
ἀνεκκόπως|without excision
ἀνέκκριτος|not emptied
ἀνεκλάλητος|unspeakable
ἀνέκλειπτος|incessant, uninterrupted
ἀνέκλεκτος|not carefully chosen
ἀνεκλόγιστος|without reckoning
ἀνέκλυτος|indissoluble
ἀνέκνιπτος|indelible
ἀνεκπίμπλημι|to fill up
ἀνέκπληκτος|undaunted, intrepid
ἀνεκπληξία|imperturbability
ἀνεκπλήρωτος|incapable of fulfilment
ἀνέκπλυτος|indelible
ἀνεκποίητος|not alienated
ἀνεκπραξία|non-effect
ἀνεκπύητος|not suppurating
ἀνεκπύρωτος|not set on fire
ἀνέκπυστος|not found out by inquiry
ἀνέκσαρτος|not skinned
ἀνεκτέος|to be borne
ἀνεκτικός|enduring, patient
ἀνέκτιτος|unpaid
ἀνέκτομος|not castrated, entire
ἀνεκτός|bearable, sufferable, tolerable
ἀνεκτότης|endurableness
ἀνέκτριπτος|indelible
ἀνέκφαντος|not to be revealed
ἀνέκφευκτος|not to be escaped, inevitable
ἀνεκφοίτητος|not proceeding
ἀνέκφορος|not to be brought to light
ἀνέκφραστος|inexpressible, unutterable
ἀνεκφώνητος|unpronounced letters
ἀνεκχύμωτος|not drained of juices
ἀνέλαιος|without oil
ἀνελάττωτος|undiminished
ἀνέλεγκτος|not cross-questioned, safe from being questioned
ἀνελεγξία|irrefutableness
ἀνελέγχω|to convince
ἀνελεήμων|merciless, without mercy
ἀνελεής|mercilessly
ἀνελέητος|without pity
ἀνελελίξω|shake and rouse
ἀνέλεος|unmerciful
ἀνελευθερία|illiberality
ἀνελευθέριος|inEN
ἀνελεύθερος|not fit for a free man
ἀνέλιγμα|anything rolled up, a ringlet
ἀνέλικτος|without turns
ἀνέλιξις|an unfolding
ἀνελίσσω|to unroll
ἀνελκής|free from ulceration
ἀνελκόομαι|suppurate afresh
ἄνελκτος|inextensible
ἀνελκτός|up-drawn
ἀνέλκυστος|incapable of being pulled
ἀνέλκω|to draw up
ἀνέλκωσις|suppuration
ἀνελκωτος|without ulcers
ἀνέλλειπτος|unfailing
ἀνέλλην|un-Greek, outlandish
ἀνελλήνιστος|not Grecian
ἀνελλιπής|unfailing, unceasing
ἀνελλίπους|lame
ἄνελπις|without hope, hopeless
ἀνελπιστέω|despair
ἀνελπιστία|hopelessness
ἀνέλπιστος|unhoped for, unlooked for
ἀνέλυτρος|unsharded
ἀνεμαφέτης|wind-releaser
ἀνέμβατος|inaccessible
ἀνεμέσητος|free from blame, without offence
ἀνέμετος|without vomiting
ἀνεμέω|vomit up
ἀνέμητος|not distributed
ἀνεμία|flatulence
ἀνεμιαῖος|windy
ἀνεμίζομαι|to be driven with the wind
ἀνεμόδαρτος|stripped by the wind
ἀνεμόδρομος|running with the wind
ἀνεμοεπάκτης|wind-bringer
ἀνεμοζάλη|strong surging sea
ἀνεμοκοῖται|wind-lullers
ἀνεμομαχία|meeting of contrary winds
ἀνεμόομαι|to be filled with wind
ἀνεμοποιός|windcreating
ἀνεμόπους|with feet swift as the wind
ἄνεμος|wind
ἀνεμοσκεπής|sheltering from the wind
ἀνεμόστροφος|whirling with wind
ἀνεμόσυρις|fan
ἀνεμοσφάραγος|echoing to the wind
ἀνεμοτρεφής|fed by the wind
ἀνεμούριον|windmill
ἀνεμοφθορία|blasting, blight
ἀνεμόφθορος|blasted by the wind
ἀνεμοφόρητος|carried by the wind
ἀνέμπληκτος|intrepid
ἀνέμπληστος|of which one cannot have one's fill
ἀνεμπόδιστος|unembarrassed
ἀνεμπόλητος|unsold
ἀνέμπτωτος|not falling into
ἀνεμφάνιστος|without formal notification
ἀνέμφαντος|not expressive
ἀνέμφατος|without a tinge of
ἀνεμώδης|windy
ἀνεμώκης|swift as the wind
ἀνεμώλιος|windy
ἀνεμώνη|the wind-flower, anemone
ἀνεμώτας|ass sacrificed to the winds
Ἀνεμῶτις|she that stills the wind
ἀνενδεής|in want of naught
ἀνένδεκτος|impossible
ἀνένδετος|not bound up with
ἀνενδοίαστος|indubitable
ἀνένδοτος|unyielding, rigid
ἀνένδυτος|not put on
ἀνενεκτέον|one must refer
ἀνενεργής|inefficacious
ἀνενεργησία|want of exercise
ἀνενέργητος|inefficacious, inactive
ἀνενεχύραστος|not liable to distraint
ἀνενθουσίαστος|unimpassioned
ἀνενθύμητος|failing to consider
ἀνεννόητος|without conception of
ἀνενόχλητος|undisturbed
ἀνέντατος|without tension
ἀνενταφιάστως|without burial
ἀνέντευκτος|unsociable
ἀνεντρέπτως|without doubt
ἀνεντρεχής|ill-adapted, inappropriate
ἀνέντροπος|not heeding
ἀνεξάκουστος|unheard of
ἀνεξάλειπτος|indelible
ἀνεξάλλακτος|unchangeable
ἀνεξαλλοτρίωτος|unalienated
ἀνεξαπατησία|freedom from deception
ἀνεξαπάτητος|infallible, not to be deceived
ἀνεξαρίθμητος|not to be counted
ἀνεξέλεγκτος|unquestioned, impossible to be questioned
ἀνεξέλικτος|whose development cannot be fully exhausted
ἀνεξέργαστος|unfinished
ἀνεξερεύνητος|not to be searched out
ἀνεξέταστος|not inquired into
ἀνεξεύρετος|not to be found out
ἀνεξήγητος|not to be told
ἀνεξία|endurance, resignation
ἀνεξικακέω|to be long-suffering
ἀνεξικακία|forbearance
ἀνεξίκακος|enduring evil, forbearing, long-suffering
ἀνεξίκμαστος|not dried up
ἀνεξίλαστος|implacable
ἀνεξιόομαι|to be reduced to a metallic state
ἀνεξίτηλος|indelible
ἀνεξίτητος|with no outlet: inevitable
ἀνεξιχνίαστος|not to be traced, unsearchable, inscrutable
ἀνεξόδευτος|with no issue
ἀνεξοδίαστος|not to be alienated
ἀνέξοδος|with no outlet, allowing no return
ἀνέξοιστος|not to be expressed, ineffable
ἀνεξούσιος|without power
ἀνεορτάζω|instaurare ludos
ἀνεόρταστος|without holidays
ἀνέορτος|without festival
ἀνεπάγγελτος|not announced
ἀνεπαίσθητος|unperceived, imperceptible
ἀνεπάϊστος|inaudible
ἀνεπαίσχυντος|having no cause for shame
ἀνεπαιτίατος|unimpeached
ἀνέπακτος|not brought in
ἀνεπάλλακτος|not alternating
ἀνεπάνακτος|not to be brought back
ἀνεπανόρθωτος|irreparable
ἀνεπαύξητος|unaugmented
ἀνέπαφος|untouched
ἀνεπαχθής|not burdensome, without offence
ἀνεπείσακτος|not adventitious, native, instinctive
ἀνεπέκτατος|not lengthened
ἀνεπέλευστος|not coming back
ἀνεπεξέργαστος|not wrought out, imperfect
ἀνεπεξήγητος|unexplained
ἀνεπέρειστος|not supported
ἀνεπερώτητος|not asked for
ἀνεπηρέαστος|free from injury
ἀνεπής|without a word, speeckless
ἀνεπιβάρητος|unburdened
ἀνεπιβασία|prohibition of traffic
ἀνεπίβατος|not to be climbed
ἀνεπίβλητος|inattentive, heedless
ἀνεπιβούλευτος|without plots
ἀνεπίβουλος|not exposed to treachery
ἀνεπιγνώμων|onos, ignorant, unconscious
ἀνεπίγνωστος|not distinctly known
ἀνεπίγραφος|without title
ἀνεπιδάνειστος|no which no money has been borrowea, not mortgaged
ἀνεπιδείκνυμι|make clear, show
ἀνεπίδεικτος|not able to be shown
ἀνεπίδεκτος|not accepting
ἀνεπίδετος|not bandaged
ἀνεπίδηλος|not manifest
ἀνεπίδικος|not disputed by legal process, undisputed
ἀνεπιδόκητος|unexpected
ἀνεπίδοτος|not growing
ἀνεπιείκεια|unfairness, unkindness
ἀνεπιεικής|unreasonable, unfair
ἀνεπιζητησία|absence of inquiry
ἀνεπιζήτητος|leaving nothing to be desired
ἀνεπίθετος|admitting no addition
ἀνεπιθεώρητος|not overlooked
ἀνεπιθόλωτος|untroubled, unpolluted
ἀνεπιθύμητος|without desire
ἀνεπικαλύπτως|openly
ἀνεπίκαυτος|free from sunlurn
ἀνεπικέλευστος|not under orders
ἀνεπικινδύνως|without danger
ἀνεπικλήρωτος|not assigned by lot
ἀνεπίκλητος|unaccused, unblamed
ἀνεπίκλιτος|unwavering
ἀνεπίκλυστος|not liable to inundation
ἀνεπικοινώνητος|not social
ἀνεπικόρριστος|not insulted
ἀνεπικούρητος|without succour
ἀνεπίκριτος|not decided, indeterminate
ἀνεπίκρυπτος|unconcealed
ἀνεπικώλυτος|unhindered
ἀνεπίλειπτος|unfailing
ἀνεπίληπτος|not open to attack, not censured, blameless
ἀνεπίληστος|not to be forgotten
ἀνεπιλόγιστος|unable to consider
ἀνεπίλυτος|unbandaged
ἀνεπιμέλητος|uncared for
ἀνεπίμικτος|not mixing
ἀνεπιμιξία|want of intercourse
ἀνεπίμονος|not enduring long
ἀνεπινοησία|inconceivability
ἀνεπινόητος|unintelligible
ἀνεπίξεστος|not polished
ἀνεπίπλαστος|not plastered over
ἀνεπίπλεκτος|without connexion with others, isolated
ἀνεπίπληκτος|not liable to be reproved
ἀνεπιπληξία|impunity, licentiousness
ἀνεπιπρόσθητος|not occultable
ἀνεπίρρεκτος|not dedicated
ἀνεπιρρήτως|without demur
ἀνεπισήμαντος|undistinguished
ἀνεπίσκεπτος|inattentive, inconsiderate
ἀνεπίσκευος|without equipment
ἀνεπισκεψία|disregard
ἀνεπισκίαστος|not in the shade
ἀνεπισκόπητος|unregarded
ἀνεπισκότητος|not obscured
ἀνεπισταθμεία|exemption from billeting
ἀνεπιστάθμευτος|exempt from billeting
ἀνεπιστασία|inattention, thoughtlessness
ἀνεπιστάτητος|without inspector, without tutelary genius
ἀνεπίστατος|inattentive
ἀνεπιστημονέω|to be ignorant
ἀνεπιστημονικός|non-scientific
ἀνεπιστημοσύνη|want of knowledge, ignorance, unskilfulness
ἀνεπιστήμων|not knowing, ignorant, unskilful
ἀνεπίστητος|not the object of knowledge
ἀνεπιστρεπτέω|to be indifferent, pay no heed
ἀνεπίστρεπτος|without turning round
ἀνεπιστρεφής|careless of
ἀνεπιστρεψία|want of regard, heedlessness
ἀνεπίστροφος|without turning around, indifferent
ἀνεπίσχετος|not to be stopped
ἀνεπίτακτος|subject to no control
ἀνεπίτατος|not to be extended farther
ἀνεπιτάττω|enjoin
ἀνεπιτετελεσμένος|not properly executed
ἀνεπίτευκτος|not hitting the mark, vain
ἀνεπιτευξία|failure to attain
ἀνεπιτέχνητος|without design
ἀνεπιτήδειος|unserviceable, unfit
ἀνεπιτηδειότης|unfitness, inconvenience, inaptitude
ἀνεπιτήδευτος|made without care
ἀνεπιτίμητος|not to be censured
ἀνεπίτμητος|subject to no deduction
ἀνεπιτρέπτως|without permission
ἀνεπιτρόπευτος|without guardian
ἀνεπιφανής|undistinguished, obscure
ἀνεπίφαντος|without ostentation
ἀνεπίφατος|unexpected
ἀνεπιφθόνητος|unenvied
ἀνεπίφθονος|without reproach
ἀνεπίφραστος|unthought of
ἀνεπιχαρής|lacking in refinement
ἀνεπιχείρητος|unassailable
ἀνεπόπτευτος|not admitted among the ἐπόπται
ἀνέποπτος|not to be discerned
ἀνεποργίξομαι|to be roused by anger
ἀνεπόψιος|not in sight
ἀνέραμαι|to love again, love anew
ἀνεραστία|ignorance of love
ἀνέραστος|not loved
ἀνεργάζομαι|knead, work up
ἀνεργασία|unemployment, idleness
ἀνέργαστος|unwrought, untilled
ἀνέργεια|cessation from work, holiday
ἄνεργος|not done
ἀνερεθίζω|to stir up, excite
ἀνερείδω|prop up, rest
ἀνέρεικτος|not bruised, unground
ἀνερείπομαι|to snatch up and carry off
ἀνερέπτομαι|drawn up spasmodically
ἀνερεύγω|throw up, disgorge
ἀνερευθής|pallid
ἀνερευνάω|to examine closely, investigate
ἀνερεύνησις|a searching out
ἀνερεύνητος|not investigated
ἀνερίθευτος|unbribed, uncorrupted
ἀνερίναστος|not ripened by caprification
ἀνερκής|unprotected
ἀνερμάτιστος|without ballast
ἀνερμήνευτος|with none to interpret
ἀνέρπω|to creep up
ἀνέρρω|to go quite away
ἀνερυθρίαστος|unblushing
ἀνερυθριάω|to begin to blush, blush up
ἀνερύω|to draw up, haul up
ἀνέρχομαι|to go up
ἀνερωτάω|to ask
ἀνερωτητέον|one must interrogate
ἀνεσθίω|eat away
ἀνέσιμος|given up to idleness
ἄνεσις|a loosening, relaxing
