и	and
будний	working day (adj or adj as noun)
столько	so much; so many
девяностый	90th
свезти	
расписываться	sign for
выплывать	swim; sail out (of)
яблочный	apple
заправка	gas station; refueling
живописец	painter
уплата	
именины	(Saint's) Name Day
Шотландия	Scotland
Азербайджан	Azerbaijan
психиатрия	
Таджикистан	Tajikistan
постирать	
костел	Catholic church
волчонок	wolf cub
ежеминутный	every minute
ученица	pupil; student (school or private lessons)
испечь	
Ирландия	
загрузить	download; load; upload
нулевой	
канун	eve; the night before
наехать	
ислам	Islam
налогоплательщик	
вчетвером	four together; as a group of four; foursome
столп	column
охраняться	be protected; be guarded
неприветливый	unfriendly; uninviting
объезжать	ride around
напрокат	rent; hire
реализоваться	be realized; be made manifest
угощаться	treat oneself to; help oneself (to food)
обслужить	
развозить	
поджигать	
роддом	maternity hospital
калория	calorie
образно	picturesque; vivid; image-filled
сервиз	
хирургия	surgery (department)
москвичка	Muscovite; resident of Moscow
отговорить	dissuade
развезти	
охарактеризовать	
обежать	
одноразовый	
